Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,A,B,C,D,alpha,beta,split_k_mode,split_k_slices,batch_count,raster_order,runtime_input_datatype_a,runtime_input_datatype_b,use_pdl,enable_sm90_mixed_dtype_shuffle_test,swizzle_size,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,gemm,cutlass_simt_sgemm_128x128_8x2_nn_align1,not_verified,success,universal,16384,8192,2048,f32:column,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,738197504,550024249344,745,9.66178,71.1567,56927.8
1,CUTLASS,gemm,cutlass_simt_sgemm_128x128_8x2_nt_align1,not_verified,success,universal,16384,8192,2048,f32:column,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,738197504,550024249344,745,9.70069,70.8712,56699.5
1,CUTLASS,gemm,cutlass_simt_sgemm_128x128_8x2_tn_align1,not_verified,success,universal,16384,8192,2048,f32:row,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,738197504,550024249344,745,10.0031,68.7286,54985.3
1,CUTLASS,gemm,cutlass_simt_sgemm_128x128_8x2_tt_align1,not_verified,success,universal,16384,8192,2048,f32:row,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,738197504,550024249344,745,10.7073,64.2086,51369.2
1,CUTLASS,gemm,cutlass_simt_dgemm_128x128_8x2_nn_align1,not_verified,success,universal,16384,8192,2048,f64:column,f64:column,f64:column,f64:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f64,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,1476395008,550024249344,372,363.554,3.78211,1512.91
1,CUTLASS,gemm,cutlass_simt_dgemm_128x128_8x2_nt_align1,not_verified,success,universal,16384,8192,2048,f64:column,f64:row,f64:column,f64:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f64,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,1476395008,550024249344,372,363.524,3.78242,1513.03
1,CUTLASS,gemm,cutlass_simt_dgemm_128x128_8x2_tn_align1,not_verified,success,universal,16384,8192,2048,f64:row,f64:column,f64:column,f64:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f64,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,1476395008,550024249344,372,363.531,3.78235,1513.01
1,CUTLASS,gemm,cutlass_simt_dgemm_128x128_8x2_tt_align1,not_verified,success,universal,16384,8192,2048,f64:row,f64:row,f64:column,f64:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f64,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,1476395008,550024249344,372,363.602,3.78161,1512.71
1,CUTLASS,gemm,cutlass_simt_cgemm_128x64_8x2_nn_align1,not_verified,success,universal,16384,8192,2048,cf32:column,cf32:column,cf32:column,cf32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,cf32,128,64,8,1,1,1,0,0,0,2,2,2,1,1,1,1,50,1024,1476395008,2200096997376,1490,48.455,28.3768,45405
1,CUTLASS,gemm,cutlass_simt_cgemm_128x64_8x2_nt_align1,not_verified,success,universal,16384,8192,2048,cf32:column,cf32:row,cf32:column,cf32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,cf32,128,64,8,1,1,1,0,0,0,2,2,2,1,1,1,1,50,1024,1476395008,2200096997376,1490,43.4347,31.6567,50653
