Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,A,B,C,D,alpha,beta,split_k_mode,split_k_slices,batch_count,raster_order,runtime_input_datatype_a,runtime_input_datatype_b,use_pdl,enable_sm90_mixed_dtype_shuffle_test,swizzle_size,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,gemm,cutlass_simt_sgemm_128x128_8x2_nn_align1,not_verified,success,universal,16384,8192,2048,f32:column,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,738197504,550024249344,745,24.7347,27.7949,22236.9
1,CUTLASS,gemm,cutlass_simt_sgemm_128x128_8x2_nt_align1,not_verified,success,universal,16384,8192,2048,f32:column,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,738197504,550024249344,745,23.9691,28.6828,22947.2
1,CUTLASS,gemm,cutlass_simt_sgemm_128x128_8x2_tn_align1,not_verified,success,universal,16384,8192,2048,f32:row,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,738197504,550024249344,745,26.2202,26.2202,20977.1
1,CUTLASS,gemm,cutlass_simt_sgemm_128x128_8x2_tt_align1,not_verified,success,universal,16384,8192,2048,f32:row,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,738197504,550024249344,745,25.3454,27.1253,21701.2
1,CUTLASS,gemm,cutlass_simt_dgemm_128x128_8x2_nn_align1,not_verified,success,universal,16384,8192,2048,f64:column,f64:column,f64:column,f64:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f64,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,1476395008,550024249344,372,862.911,1.59344,637.405
1,CUTLASS,gemm,cutlass_simt_dgemm_128x128_8x2_nt_align1,not_verified,success,universal,16384,8192,2048,f64:column,f64:row,f64:column,f64:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f64,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,1476395008,550024249344,372,862.288,1.5946,637.866
1,CUTLASS,gemm,cutlass_simt_dgemm_128x128_8x2_tn_align1,not_verified,success,universal,16384,8192,2048,f64:row,f64:column,f64:column,f64:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f64,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,1476395008,550024249344,372,862.111,1.59492,637.997
1,CUTLASS,gemm,cutlass_simt_dgemm_128x128_8x2_tt_align1,not_verified,success,universal,16384,8192,2048,f64:row,f64:row,f64:column,f64:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f64,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,1476395008,550024249344,372,862.101,1.59494,638.005
1,CUTLASS,gemm,cutlass_simt_cgemm_128x64_8x2_nn_align1,not_verified,success,universal,16384,8192,2048,cf32:column,cf32:column,cf32:column,cf32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,cf32,128,64,8,1,1,1,0,0,0,2,2,2,1,1,1,1,50,1024,1476395008,2200096997376,1490,84.4066,16.2902,26065.5
1,CUTLASS,gemm,cutlass_simt_cgemm_128x64_8x2_nt_align1,not_verified,success,universal,16384,8192,2048,cf32:column,cf32:row,cf32:column,cf32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,cf32,128,64,8,1,1,1,0,0,0,2,2,2,1,1,1,1,50,1024,1476395008,2200096997376,1490,84.0004,16.369,26191.5
